level_0,index,Unnamed: 0,title,comment,date,platform,product,is.flavor,is.packaging,is.expiration,is.price,is.source,is.logistic,is.ingredient,sentiment_score
1095,1123,1332,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,口感味道：很像qq糖一样，挺好吃的。效果挺好，吃了两个,01.18,Tmall,SLEEP,False,False,False,False,False,False,False,0.8806027500243906
1097,1125,1334,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,吃了两天才来评价，酸酸甜甜的，味道不错。睡前嚼两块，然后把手机关机。躺好，似乎挺快就睡着了。大概一觉能睡到早上。期待效果。大概会回购。,01.14,Tmall,SLEEP,False,False,False,False,False,False,False,0.7718741314611033
1099,1127,1336,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,很有效果没有任何副作用这个糖太有助睡眠了,01.24,Tmall,SLEEP,False,False,False,False,False,False,False,0.5130976465052141
1105,1133,1342,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,特意吃了一段时间才来评价的，确实有改善睡眠的效果，现在睡眠质量有所提升，准备在买一点。,01.19,Tmall,SLEEP,False,False,False,False,False,False,False,0.64034006582898
1106,1134,1343,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,包装好看，速度快，看起来效果应该不错~,01.15,Tmall,SLEEP,False,False,False,False,False,False,False,0.9162707329864695
1108,1136,1345,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,第一次看到这样的宝贝，口感不错，包装很漂亮，还送了一个眼罩，有效果，物美价廉！,01.14,Tmall,SLEEP,False,False,False,False,False,False,False,0.6291739894551844
1112,1140,1389,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,之前就有购买，感觉效果不错，吃完就又拍了，很喜欢,01.21,Tmall,SLEEP,False,False,False,False,False,False,False,0.9119647927289066
1115,1144,1393,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,挺不错的。味道也还行。效果不知道怎么样。反正就当糖吃了。,01.22,Tmall,SLEEP,False,False,False,False,False,False,False,0.47223293859766013
1119,1148,1397,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,"很喜欢哇,有效还好吃,吃完大概十几分钟就有困意辽。还有赠品蒸汽眼罩。独立包装很方便! 包装品质：好",01.16,Tmall,SLEEP,False,False,False,False,False,False,False,0.9074257939108076
1120,1149,1398,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,东西收到，还没使用，据说挺好用的，还赠了热敷眼罩，总之期待效果，满意五分,01.14,Tmall,SLEEP,False,False,False,False,False,False,False,0.7718741314611033
1121,1150,1399,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,东西收到，第一次尝试，过几天看看效果，好的话在来回购，谢谢送的眼罩和贴纸，很喜欢,01.18,Tmall,SLEEP,False,False,False,False,False,False,False,0.48482043292482746
1123,1153,1402,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,喜欢 哈哈哈 还不错吧 效果还好,01.08,Tmall,SLEEP,False,False,False,False,False,False,False,0.9966733742808367
1124,1154,1403,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,睡觉是有效果，而且感觉也挺安全的，因为本人是上学的，然后总是睡不着觉 ，一般我是吃两个，现在也就是剩一些了,01.16,Tmall,SLEEP,False,False,False,False,False,False,False,0.5547911730629702
